measurement_group,order,column_name,measurement_full_name,abbr,unit,abbr_unit
biological,1,OM_%,Organic Matter,Organic Matter,%,Organic Matter <br>(%)
biological,2,96hrminC_mgC.kg.day,Potentially Mineralizable Carbon,Min C,mg/kg/day,Min C <br>(mg/kg/day)
biological,3,poxC_mg.kg,Permanganate Oxidizable Carbon,POXC,ppm,POXC <br>(ppm)
biological,4,pmN_lbs.ac,Potentially Mineralizable Nitrogen,PMN,lbs/ac,PMN <br>(lbs/ac)
biological,5,ace_g.protein.kg.soil,Autoclavable Citrate Extractable Protein,ACE Protein,g/kg,ACE Protein <br>(g/kg)
chemical,1,pH,pH,pH,,pH<br>
chemical,2,EC_mmhos.cm,Electrical Conductivity,EC,mmhos/cm,EC <br>(mmhos/cm)
chemical,3,CEC_meq.100g,Cation Exchange Capacity,CEC,cmolc/kg,CEC <br>(cmolc/kg)
chemical,4,totalC_%,Total Carbon,Total C,%,Total C <br>(%)
chemical,5,TOC_%,Total Organic Carbon,TOC,%,TOC <br>(%)
chemical,6,inorganicC_%,Inorganic Carbon,Inorganic C,%,Inorganic C <br>(%)
macro,1,totalN_%,Total Nitrogen,Total N,%,Total N <br>(%)
macro,2,nitrateN_mg.kg,Nitrate Nitrogen,NO₃,ppm,NO₃<br>(ppm)
macro,3,ammN_mg.kg,Ammonium Nitrogen,NH₄-N,ppm,NH₄-N <br>(ppm)
macro,4,olsenP_mg.kg,Phosphorous,P,ppm,P <br>(ppm)
macro,5,K_mg.kg,Potassium,K,ppm,K <br>(ppm)
macro,6,Ca_mg.kg,Calcium,Ca,ppm,Ca <br>(ppm)
macro,7,Mg_mg.kg,Magnesium,Mg,ppm,Mg <br>(ppm)
macro,8,S_mg.kg,Sulfur,S,ppm,S <br>(ppm)
micro,1,B_mg.kg,Boron,B,ppm,B <br>(ppm)
micro,2,Fe_mg.kg,Iron,Fe,ppm,Fe <br>(ppm)
micro,3,Mn_mg.kg,Manganese,Mn,ppm,Mn <br>(ppm)
micro,4,Cu_mg.kg,Copper,Cu,ppm,Cu <br>(ppm)
micro,5,Zn_mg.kg,Zinc,Zn,ppm,Zn <br>(ppm)
micro,6,Na_mg.kg,Sodium,Na,ppm,Na <br>(ppm)
physical,1,texture,Texture,Texture,,Texture<br>
physical,1,sand_%,Sand,Sand,%,Sand <br>(%)
physical,2,silt_%,Silt,Silt,%,Silt <br>(%)
physical,3,clay_%,Clay,Clay,%,Clay <br>(%)
physical,5,bd_g.cm3,Bulk Density,Bulk Density,g/cm³,Bulk Density <br>(g/cm³)
physical,6,wsa_%,Water Stable Aggregates,Agg. Stability,%,Agg. Stability <br>(%)
physical,7,WHC_in.ft,Water Holding Capacity,WHC,in/ft,WHC <br>(in/ft)
