measurement_group,column_name,abbr,unit
Mediciones físicas,texture,Textura,
Mediciones físicas,sand_percent,Arena,%
Mediciones físicas,silt_percent,Limo,%
Mediciones físicas,clay_percent,Arcilla,%
Mediciones físicas,bd_g_cm3,Densidad aparente,g/cm³
Mediciones físicas,wsa_percent,Estabilidad de agregados,%
Mediciones físicas,whc_in_ft,WHC,in/ft
Mediciones biológicas,om_percent,Materia organica,%
Mediciones biológicas,min_c_96hr_mg_c_kg_day,Min C,mg/kg/day
Mediciones biológicas,poxc_mg_kg,POXC,ppm
Mediciones biológicas,pmn_lb_ac,PMN,lb/ac
Mediciones biológicas,ace_g_protein_kg_soil,ACE Proteina,g/kg
Mediciones químicas,ph,pH,
Mediciones químicas,ec_mmhos_cm,EC,mmhos/cm
Mediciones químicas,cec_meq_100g,CEC,cmolc/kg
Mediciones químicas,total_c_percent,Total C,%
Mediciones químicas,toc_percent,TOC,%
Mediciones químicas,inorganic_c_percent,Inorganic C,%
Macronutrientes esenciales para plantas,total_n_percent,Total N,%
Macronutrientes esenciales para plantas,no3_n_mg_kg,NO₃-N,ppm
Macronutrientes esenciales para plantas,nh4_n_mg_kg,NH₄-N,ppm
Macronutrientes esenciales para plantas,p_olsen_mg_kg,P,ppm
Macronutrientes esenciales para plantas,k_mg_kg,K,ppm
Macronutrientes esenciales para plantas,ca_mg_kg,Ca,ppm
Macronutrientes esenciales para plantas,mg_mg_kg,Mg,ppm
Macronutrientes esenciales para plantas,s_mg_kg,S,ppm
Micronutriente es esenciales para plantas,b_mg_kg,B,ppm
Micronutriente es esenciales para plantas,fe_mg_kg,Fe,ppm
Micronutriente es esenciales para plantas,mn_mg_kg,Mn,ppm
Micronutriente es esenciales para plantas,cu_mg_kg,Cu,ppm
Micronutriente es esenciales para plantas,zn_mg_kg,Zn,ppm
Micronutriente es esenciales para plantas,na_mg_kg,Na,ppm
